metric_order,metric_name,family,direction,model_seed,dense_h200_cumulative,sparse_h200_cumulative,oriented_absolute_improvement,sparse_better
3,interface_edge_disagreement,interface_geometry,lower,72,0.10182804107666016,0.09971359252929686,0.0021144485473632985,true
3,interface_edge_disagreement,interface_geometry,lower,73,0.10020909627278646,0.097410914103190097,0.002798182169596361,true
4,free_energy_absolute_error,thermodynamics,lower,64,0.0279154061320432,0.025981791804853615,0.0019336143271895846,true
4,free_energy_absolute_error,thermodynamics,lower,65,0.027261549452581468,0.02554935327008408,0.0017121961824973879,true
4,free_energy_absolute_error,thermodynamics,lower,66,0.027531832540089531,0.023944450066020917,0.0035873824740686143,true
4,free_energy_absolute_error,thermodynamics,lower,67,0.028105724124860679,0.027945898760270201,0.00015982536459047819,true
4,free_energy_absolute_error,thermodynamics,lower,68,0.027048439826976384,0.026478676621848204,0.00056976320512817924,true
4,free_energy_absolute_error,thermodynamics,lower,69,0.031166534191428018,0.027930684851872417,0.0032358493395556014,true
4,free_energy_absolute_error,thermodynamics,lower,70,0.027852519959240252,0.026705667355823932,0.0011468526034163207,true
4,free_energy_absolute_error,thermodynamics,lower,71,0.025610608804480659,0.02469669614637399,0.00091391265810666922,true
4,free_energy_absolute_error,thermodynamics,lower,72,0.032727943406369149,0.030895128645532139,0.00183281476083701,true
4,free_energy_absolute_error,thermodynamics,lower,73,0.0290876813586564,0.026560352525400149,0.002527328833256251,true
5,potential_energy_absolute_error,thermodynamics,lower,64,0.033791741644013669,0.032617829006001221,0.0011739126380124476,true
5,potential_energy_absolute_error,thermodynamics,lower,65,0.035345383144046109,0.033920640099780131,0.0014247430442659789,true
5,potential_energy_absolute_error,thermodynamics,lower,66,0.034492192229639507,0.031942354383583366,0.0025498378460561411,true
5,potential_energy_absolute_error,thermodynamics,lower,67,0.038971650297725501,0.037241858864626089,0.0017297914330994119,true
5,potential_energy_absolute_error,thermodynamics,lower,68,0.035810254783773456,0.036258701957242699,-0.00044844717346924357,false
5,potential_energy_absolute_error,thermodynamics,lower,69,0.041519911821773732,0.033540202245187258,0.0079797095765864745,true
5,potential_energy_absolute_error,thermodynamics,lower,70,0.034984158427313228,0.034869983020663721,0.00011417540664950682,true
5,potential_energy_absolute_error,thermodynamics,lower,71,0.032790186821006879,0.032001707527182517,0.00078847929382436233,true
5,potential_energy_absolute_error,thermodynamics,lower,72,0.037811818087742984,0.040379932129735403,-0.0025681140419924198,false
5,potential_energy_absolute_error,thermodynamics,lower,73,0.034228129539223495,0.033413639605393446,0.00081448993383004958,true
6,gradient_energy_absolute_error,thermodynamics,lower,64,0.029746263287861712,0.02665389209971239,0.0030923711881493225,true
6,gradient_energy_absolute_error,thermodynamics,lower,65,0.029789551034099915,0.026025384557905196,0.0037641664761947184,true
6,gradient_energy_absolute_error,thermodynamics,lower,66,0.030997591474880737,0.02731116179446957,0.0036864296804111664,true
6,gradient_energy_absolute_error,thermodynamics,lower,67,0.030025530412766784,0.028979108308777663,0.0010464221039891211,true
6,gradient_energy_absolute_error,thermodynamics,lower,68,0.026785671448212502,0.025500322311592008,0.0012853491366204943,true
6,gradient_energy_absolute_error,thermodynamics,lower,69,0.029802854946278254,0.026093920683339603,0.0037089342629386506,true
6,gradient_energy_absolute_error,thermodynamics,lower,70,0.027864717336423244,0.026544936796046827,0.0013197805403764168,true
6,gradient_energy_absolute_error,thermodynamics,lower,71,0.027224169694309786,0.026952908039768683,0.00027126165454110368,true
6,gradient_energy_absolute_error,thermodynamics,lower,72,0.030070454931437424,0.025557270009592625,0.0045131849218447984,true
6,gradient_energy_absolute_error,thermodynamics,lower,73,0.027406784543508287,0.025233349003984468,0.0021734355395238193,true
