horizon,model,root_label,subset,depth_stratum,selector,rollout_mode,finite_ratio_iqm,finite_ratio_global_iqm,finite_ratio_n,finite_ratio_n_systems,censored_log10_iqm_ratio,K,N,sign_test_iqm_in_direction,sign_test_iqm_total,sign_test_iqm_p,censor_finite_finite,censor_missing_row_neutral,censor_routed_invalid_global_finite_loss,censor_routed_finite_global_invalid_win,censor_both_invalid_neutral
1000,"Sparse MLP, BD",mlp_sparse_blockdiag_hardinit_basin_partition_control,deep,deep,Random matched,random_count_matched_local_centered,0.022994355443414372,5.691796791090978e-07,26,8,4.052370815310085e-16,6,17,10,17,0.3145294189453125,26,20.0,9.0,84.0,116.0
1000,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,all,all,Support family,family_local_centered,0.37485148993261036,0.049067704413783254,39,12,1e-41,17,17,17,17,7.62939453125e-06,39,,,215.0,1.0
1000,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,all,all,Basin labels,oracle_basin_local_centered,0.08404437880109572,5.7244030900050125e-06,29,8,1.3570345696498275e-41,13,17,16,17,0.0001373291015625,29,,10.0,187.0,29.0
1000,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,all,all,Latent clusters,latent_kmeans_local_centered,2.0364060593806163e-14,5.175458299384444e-16,39,12,1e-41,17,17,17,17,7.62939453125e-06,39,,,216.0,
1000,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,all,all,Random matched,random_count_matched_local_centered,88221988034.41304,0.0010307145729514617,25,5,5.572699110698259e-23,6,17,14,17,0.0063629150390625,25,,14.0,121.0,95.0
1000,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,deep,deep,Support family,family_local_centered,0.2800766742845856,0.014479494682768925,38,12,1e-41,16,17,16,17,0.0001373291015625,38,15.0,,196.0,6.0
1000,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,deep,deep,Basin labels,oracle_basin_local_centered,0.0009842824433985303,5.899947492630821e-08,29,8,2.7135708385486572e-39,12,17,15,17,0.0011749267578125,29,15.0,9.0,167.0,35.0
1000,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,deep,deep,Latent clusters,latent_kmeans_local_centered,2.2949325423204304e-13,4.970441908448806e-16,38,12,1e-41,16,17,16,17,0.0001373291015625,38,15.0,,202.0,
1000,Sparse MLP,mlp_sparse_hardinit_basin_partition_control,deep,deep,Random matched,random_count_matched_local_centered,0.1893483338469866,7.109465475262017e-07,23,5,2.6119874912885475e-17,4,17,10,17,0.3145294189453125,23,15.0,15.0,89.0,113.0
1000,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,all,all,Support family,family_local_centered,674.7474474992822,617.2419939680806,236,16,56.5135717029279,1,17,2,17,0.9998626708984375,236,,,18.0,1.0
1000,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,all,all,Basin labels,oracle_basin_local_centered,1.6189903725806994e+16,73926128682623.64,132,14,3.327964378887779e+28,3,17,4,17,0.9936370849609375,132,,104.0,18.0,1.0
1000,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,all,all,Latent clusters,latent_kmeans_local_centered,981817593084.486,270519862186.55798,232,16,36.96307051059313,3,17,6,17,0.9282684326171875,232,,4.0,17.0,2.0
1000,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,all,all,Random matched,random_count_matched_local_centered,0.752469050098179,0.6525459006091684,229,16,0.2369050174386086,2,17,16,17,0.0001373291015625,229,,7.0,15.0,4.0
1000,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,deep,deep,Support family,family_local_centered,533.2507571054405,571.9027565895398,221,15,33.12803533257824,1,17,3,17,0.9988250732421875,221,15.0,,18.0,1.0
1000,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,deep,deep,Basin labels,oracle_basin_local_centered,1822246469165.8293,7536130711364.258,126,14,2.1383847515779709e+24,2,17,3,17,0.9988250732421875,126,15.0,95.0,3.0,16.0
1000,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,deep,deep,Latent clusters,latent_kmeans_local_centered,7565206.563967037,144496.99678035127,217,15,0.011906187795931654,3,17,8,17,0.6854705810546875,217,15.0,4.0,17.0,2.0
1000,Dense MLP,mlp_zero_sparse_hardinit_basin_partition_control,deep,deep,Random matched,random_count_matched_local_centered,0.7281239283453068,0.7352860610209507,211,15,0.5361117295545449,1,17,13,17,0.0245208740234375,211,15.0,10.0,13.0,6.0
