root_label,label,metric,system,p_raw,p_holm,median_diff
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",U_exact,multiwell_strong_transition,0.9990234375,1.0,-0.09469375669526467
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,U_exact,claude_arrested_spiral,0.875,1.0,-0.03125
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,U_exact,claude_cal_asymmetric_3,0.248046875,1.0,0.0019379844961240345
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,U_exact,claude_cal_hexagon_6,0.048828125,0.78125,0.0032572401758448333
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,U_exact,claude_cal_high_cross_3,0.85546875,1.0,-0.0001820388349514368
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,U_exact,claude_cal_octagon_8,0.1376953125,1.0,0.004869381709108889
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,U_exact,claude_cal_pentagon_5,0.5,1.0,-0.0016679900971626194
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,U_exact,claude_cal_square_4,1.0,1.0,0.0
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,U_exact,claude_checkerboard_potential,0.0244140625,0.4150390625,0.005408143655379394
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,U_exact,claude_duffing_triple_well,1.0,1.0,-0.08281855620155035
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,U_exact,claude_snic_multi,0.8388671875,1.0,-0.08521918733340739
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,U_exact,claude_transition_routes_4,0.0654296875,0.9814453125,0.007274015464308503
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,U_exact,claude_var_depth_gradient_4,0.421875,1.0,-0.00032002048131074545
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,U_exact,claude_var_diamond_4,0.5,1.0,0.0
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,U_exact,claude_var_l_shape_5,0.6875,1.0,-0.06165213178294576
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,U_exact,gated_local_linear,0.9345703125,1.0,-0.14213979475443578
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,U_exact,gated_transfer_linear,0.9755859375,1.0,-0.044764670449834315
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,U_exact,multiwell_strong_transition,0.9990234375,1.0,-0.08653508745448722
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,MeanSupportSize,claude_arrested_spiral,0.001953125,0.0166015625,-149.91182170542638
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,MeanSupportSize,claude_cal_asymmetric_3,0.001953125,0.0166015625,-157.99636627906978
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,MeanSupportSize,claude_cal_hexagon_6,0.001953125,0.0166015625,-153.12496972632601
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,MeanSupportSize,claude_cal_high_cross_3,0.0009765625,0.0166015625,-144.03815406976744
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,MeanSupportSize,claude_cal_octagon_8,0.0009765625,0.0166015625,-146.48505623170544
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,MeanSupportSize,claude_cal_pentagon_5,0.0009765625,0.0166015625,-156.13637426900587
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,MeanSupportSize,claude_cal_square_4,0.0009765625,0.0166015625,-152.41933664259926
