model,system,metric,step,value,metrics_file
LISTA,dysts_Chua,eval/final_error,35000,1.9490255117416382,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,35500,5150.63818359375,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,36000,1.8288586139678955,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,36500,1.673902153968811,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,37000,2869.052978515625,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,37500,11477.458984375,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,38000,1.8107330799102783,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,38500,1.7625223398208618,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,39000,1.8113164901733398,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,39500,18626.701171875,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,40000,1186.5802001953125,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,40500,1.9748117923736572,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,41000,1613.9432373046875,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
