root_label,display,system_key,horizon,n_pairs,log10_delta_iqm,log10_delta_median,iqm_ratio_to_dense,candidate_system_iqm,dense_system_iqm,p_raw,p_holm,passes_holm_0p05,reason
lista,LISTA,dysts:SanUmSrisuchinwong,1500,15,-0.18591049912761898,-0.16975145670223646,0.7285557549299354,0.034706645246062914,0.04763759672641749,0.09381103515625,0.375244140625,False,
lista,LISTA,dysts:ShimizuMorioka,1500,15,-0.2550204075787813,-0.3149812783940571,0.4963660300953738,0.006906815205833686,0.013914762064814514,0.165130615234375,0.495391845703125,False,
lista,LISTA,dysts:WangSun,1500,15,-0.23694155127273442,-0.29629015607383713,0.4977205170927037,0.202799063708101,0.40745570404188974,0.053497314453125,0.2838134765625,False,
lista,LISTA,dysts:Chua,2000,15,-0.4913167864192244,-0.5178837823988336,0.32800087877025147,0.0096108878829649,0.029301408944385342,0.009033203125,0.063232421875,False,
lista,LISTA,dysts:Dadras,2000,15,-0.5502435737016064,-0.6540698836240553,0.2511265033967991,0.10795802410159785,0.42989498376846313,0.004180908203125,0.033447265625,True,
lista,LISTA,dysts:DequanLi,2000,15,-0.2741043586532047,-0.2716498351201304,0.4798556571587984,0.03481411162231646,0.0725512163979666,0.00030517578125,0.00274658203125,True,
lista,LISTA,dysts:Hadley,2000,15,-0.019970338258535576,-0.013934852584917223,0.7502648983304049,0.0319608149251767,0.04259937389620707,0.532958984375,0.67877197265625,False,
lista,LISTA,dysts:LorenzCoupled,2000,15,-0.18711123552841366,-0.2982266955264677,0.5158057539675708,0.5472273273127419,1.0609174541064672,0.339385986328125,0.67877197265625,False,
lista,LISTA,dysts:LuChenCheng,2000,15,-0.5475383194438997,-0.5488758651581673,0.25895326905617455,0.01058977303494294,0.04089453310838763,6.103515625e-05,0.00067138671875,True,
lista,LISTA,dysts:MultiChua,2000,15,-0.5849630283127771,-0.5704114440880252,0.26901661725991954,0.023002505568521313,0.08550589105912614,3.0517578125e-05,0.0003662109375,True,
lista,LISTA,dysts:QiChen,2000,15,-0.8695770477815213,-0.8658923880021253,0.1725699955674606,0.04344254146729192,0.2517386717455728,9.1552734375e-05,0.00091552734375,True,
lista,LISTA,dysts:Sakarya,2000,15,-0.240295967135509,-0.19695183266646926,0.42844728502243534,0.2171143293380737,0.5067468902894429,0.01507568359375,0.07672119140625,False,
lista,LISTA,dysts:SanUmSrisuchinwong,2000,15,-0.20633377887494758,-0.19413867472606117,0.6488503130268074,0.07080986989395953,0.10913128725119996,0.060272216796875,0.2410888671875,False,
lista,LISTA,dysts:ShimizuMorioka,2000,15,-0.22823583118919524,-0.2427320593165967,0.49461927684555285,0.0117715871892869,0.023799289150961727,0.210601806640625,0.631805419921875,False,
lista,LISTA,dysts:WangSun,2000,15,-0.20157141427696762,-0.20859200915214854,0.5904614431386055,0.43390774726867676,0.7348621189594269,0.012786865234375,0.07672119140625,False,
lista,LISTA,dysts:Chua,3000,15,-0.5282509359797051,-0.49560382307599005,0.32739643889955244,0.020530645602515725,0.06270882380860188,0.009033203125,0.052764892578125,False,
lista,LISTA,dysts:Dadras,3000,15,-0.41437277605801054,-0.45643475879786694,0.38096800043950685,0.32020972456250874,0.8405160648482186,0.001312255859375,0.011810302734375,True,
lista,LISTA,dysts:DequanLi,3000,15,-0.2862283367461701,-0.33556645536959406,0.5082757847668147,0.09901073149272369,0.19479726254940033,0.001678466796875,0.013427734375,True,
lista,LISTA,dysts:Hadley,3000,15,0.04234567721671957,0.07477739670751982,0.857477484920519,0.0786982891815049,0.09177884033748078,0.660614013671875,0.84210205078125,False,
lista,LISTA,dysts:LorenzCoupled,3000,15,-0.16354219595677658,-0.169683895941945,0.6171313469475765,1.3220350572041102,2.1422263894762312,0.380767822265625,0.84210205078125,False,
lista,LISTA,dysts:LuChenCheng,3000,15,-0.5172822999583735,-0.45462196483037776,0.28612792565914563,0.023810653015971132,0.0832168092685086,0.000213623046875,0.00213623046875,True,
lista,LISTA,dysts:MultiChua,3000,15,-0.5832395972462171,-0.5853809568538024,0.27096730668293184,0.06274415020431788,0.23155616436685836,6.103515625e-05,0.000732421875,True,
lista,LISTA,dysts:QiChen,3000,15,-0.6191660794320404,-0.6261025176492754,0.2366678175175654,0.16652042205844603,0.7036039956978389,0.000152587890625,0.001678466796875,True,
lista,LISTA,dysts:Sakarya,3000,15,-0.2275347700556538,-0.22210834463195156,0.5713134532460904,0.5250298806599208,0.9189874274390084,0.007537841796875,0.052764892578125,False,
lista,LISTA,dysts:SanUmSrisuchinwong,3000,15,-0.2434185846292496,-0.14596504890373257,0.58675571001148,0.2387047718678202,0.4068213871547154,0.053497314453125,0.2139892578125,False,
lista,LISTA,dysts:ShimizuMorioka,3000,15,-0.1728253976871867,-0.17278697868187276,0.5682064527287822,0.03738593044025552,0.06579638485397607,0.28070068359375,0.84210205078125,False,
lista,LISTA,dysts:WangSun,3000,15,-0.19863273963956515,-0.22856072562940108,0.562103201022663,0.8348675966262817,1.4852567911148071,0.007537841796875,0.052764892578125,False,
lista,LISTA,dysts:Chua,4000,15,-0.546795148833139,-0.519885719479692,0.31885878369628945,0.037809120225054824,0.11857637975897105,0.009033203125,0.063232421875,False,
lista,LISTA,dysts:Dadras,4000,15,-0.26779885814296533,-0.26994019639971367,0.5528559352357024,0.6855026313236782,1.2399299485342843,0.001312255859375,0.011810302734375,True,
lista,LISTA,dysts:DequanLi,4000,15,-0.2768046284322115,-0.3434097197163965,0.5481339068296996,0.2481766981737954,0.4527665504387447,0.002685546875,0.021484375,True,
lista,LISTA,dysts:Hadley,4000,15,0.06303011700294502,0.13255219178917033,0.9145268252948392,0.1474792797650609,0.16126293476138795,0.71929931640625,0.89923095703125,False,
