root_label,label,horizon,system,p_raw_t,p_holm_t,p_raw_w,p_holm_w,mean_diff_log10,median_diff_log10,hl_diff_log10,lo_log10,hi_log10,n_seeds
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,1000,claude_arrested_spiral,9.54295557933962e-06,9.54295557933962e-05,0.001953125,0.0166015625,-2.489968994033138,-2.1390989087393324,-2.1550754369815035,-3.4259023092819114,-1.6233476042100456,9
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,1000,claude_cal_asymmetric_3,1.9509723767032596e-05,0.00013656806636922817,0.001953125,0.0166015625,-1.9735139345941752,-1.753907047766907,-1.7486096861365648,-3.200374330945176,-1.4189534518107574,9
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,1000,claude_cal_hexagon_6,3.802477519401265e-10,6.083964031042024e-09,0.001953125,0.0166015625,-1.9566556697709434,-1.92336504405769,-1.9337087731354234,-2.200204414042302,-1.8580463474163245,9
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,1000,claude_cal_high_cross_3,1.3931740178769736e-06,1.6718088214523683e-05,0.0009765625,0.0166015625,-1.1535529737814056,-1.1910001302115876,-1.187172652804442,-1.4684200320795189,-1.010990882165016,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,1000,claude_cal_octagon_8,2.8519158319616517e-08,3.7074905815501474e-07,0.0009765625,0.0166015625,-2.113286469544162,-2.0179336090259694,-2.0199481790609264,-2.2393755262951065,-1.8727532129123614,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,1000,claude_cal_pentagon_5,2.8173352118454555e-05,0.00016904011271072733,0.0009765625,0.0166015625,-1.7475777026379435,-1.6960596989932035,-1.5746019458316578,-2.3735035770482193,-1.0636700438723194,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,1000,claude_cal_square_4,2.3098709962766322e-08,3.233819394787285e-07,0.0009765625,0.0166015625,-1.955027098926967,-2.0562194698683656,-1.956389393448028,-2.2834673568033725,-1.579845900129052,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,1000,claude_checkerboard_potential,0.2822382717859272,0.5644765435718544,0.2158203125,0.2158203125,-0.8299270354062905,-2.780515302897614,-2.483790656729199,-3.4815747393987095,2.1771292034162046,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,1000,claude_duffing_triple_well,1.087128711477767e-05,9.784158403299903e-05,0.0009765625,0.0166015625,-0.7661813923349841,-0.8115912528196544,-0.8011680280328038,-0.9930825384132335,-0.5237303929408355,10
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,1000,claude_snic_multi,1.0859292678001751e-08,1.6288939017002626e-07,0.0009765625,0.0166015625,-2.4822849627623165,-2.3733761855820363,-2.4763246446998393,-2.91481122996292,-2.2535057019508287,10
