root_label,display,system_key,horizon,n_seeds,mse_iqm,mse_log10_iqm,mse_median,mse_q25,mse_q75,full_finite_iqm,full_finite_min
lista_bd,LISTA-BD,dysts:ShimizuMorioka,100,15,8.429361696471232e-05,-4.098441058754388,7.458823529304937e-05,5.892314402444754e-05,0.0002035257493844,1.0,1.0
lista_bd,LISTA-BD,dysts:WangSun,100,15,0.0011575852653809573,-2.961951834967469,0.0010897410102188,0.00053344576735975,0.0025381734012626,1.0,1.0
lista_bd,LISTA-BD,dysts:Chua,500,15,0.0005831825630073429,-3.2391218509868276,0.0005438373773358,0.00048748290282670003,0.00085159458103585,1.0,1.0
lista_bd,LISTA-BD,dysts:Dadras,500,15,0.00654394898031433,-2.2133483246426002,0.0048670917749404,0.0041112811304628,0.0104134255088865,1.0,1.0
lista_bd,LISTA-BD,dysts:DequanLi,500,15,0.0032811944838612712,-2.4847469547300745,0.0031913437414914,0.0029952279292046503,0.0037376271793618,1.0,1.0
lista_bd,LISTA-BD,dysts:Hadley,500,15,0.002654691326564929,-2.5787508396023253,0.0025728575419634,0.00218064710497855,0.00356252479832615,1.0,1.0
lista_bd,LISTA-BD,dysts:LuChenCheng,500,15,0.0012425357875014572,-2.908705464680858,0.0012631192803382,0.00098730454919855,0.00142004090594125,1.0,1.0
lista_bd,LISTA-BD,dysts:QiChen,500,15,0.0022526010704625285,-2.6526035348988586,0.0022165020927786,0.00166156771592795,0.00291661277879025,1.0,1.0
lista_bd,LISTA-BD,dysts:Sakarya,500,15,0.016760978648172914,-1.82250483000219,0.0168786942958831,0.005854909308254649,0.0399344256147742,1.0,1.0
lista_bd,LISTA-BD,dysts:SanUmSrisuchinwong,500,15,0.0028969283282224007,-2.5539002401458335,0.0023824318777769,0.0020699271699413,0.00498933973722155,1.0,1.0
lista_bd,LISTA-BD,dysts:ShimizuMorioka,500,15,0.0011128733001116856,-2.9802644738885,0.0010188652668148,0.00075063723488705,0.00217030546627935,1.0,1.0
lista_bd,LISTA-BD,dysts:WangSun,500,15,0.030841424262949346,-1.5248121673745487,0.031379360705614,0.0178274577483534,0.0451832059770822,1.0,1.0
lista_bd,LISTA-BD,dysts:Chua,1000,15,0.0018102609153304427,-2.746464569410683,0.0017977574607357,0.00146081752609455,0.0027452493086457,1.0,1.0
lista_bd,LISTA-BD,dysts:Dadras,1000,15,0.037095760926604236,-1.4408496038260505,0.0377044714987278,0.022243178449571098,0.0488731954246759,1.0,1.0
lista_bd,LISTA-BD,dysts:DequanLi,1000,15,0.010924128150301287,-1.9625087213599495,0.010877588763833,0.00977631611749525,0.01257469877600665,1.0,1.0
lista_bd,LISTA-BD,dysts:Hadley,1000,15,0.009140696509608142,-2.04185517477142,0.0090221166610717,0.00771135045215485,0.0115543282590806,1.0,1.0
lista_bd,LISTA-BD,dysts:LuChenCheng,1000,15,0.0036672115592019288,-2.4416414316638715,0.0038468164857476,0.0026715534040703502,0.0050801450852304,1.0,1.0
lista_bd,LISTA-BD,dysts:QiChen,1000,15,0.007875670612390515,-2.1111042679500374,0.0084759378805756,0.00566401774995025,0.0105615612119436,1.0,1.0
lista_bd,LISTA-BD,dysts:Sakarya,1000,15,0.048567325142877406,-1.344108180707961,0.0565955489873886,0.01998743321746585,0.0866322964429855,1.0,1.0
lista_bd,LISTA-BD,dysts:SanUmSrisuchinwong,1000,15,0.009225660735475127,-2.0582266776774913,0.0076147876679897,0.0060895425267517,0.0201994115486741,1.0,1.0
lista_bd,LISTA-BD,dysts:ShimizuMorioka,1000,15,0.0033256816677748853,-2.4875618494183223,0.0030750895384699,0.00238150823861355,0.00713206548243755,1.0,1.0
lista_bd,LISTA-BD,dysts:WangSun,1000,15,0.11092852694647648,-0.9855399913566705,0.0905777439475059,0.0652558915317058,0.2597605809569359,1.0,1.0
lista_bd,LISTA-BD,dysts:Chua,1500,15,0.003845858121556828,-2.425650760303665,0.0038946473505347,0.0028173077153041,0.0061447988264262,1.0,1.0
lista_bd,LISTA-BD,dysts:Dadras,1500,15,0.06759933222617416,-1.1789560184539558,0.0676915198564529,0.04075929895043365,0.0849627293646335,1.0,1.0
lista_bd,LISTA-BD,dysts:DequanLi,1500,15,0.022490634982074976,-1.648649824709968,0.0227774325758218,0.01982802897691725,0.02639832254499195,1.0,1.0
lista_bd,LISTA-BD,dysts:Hadley,1500,15,0.01890505185084677,-1.725423673146018,0.0195172037929296,0.015273799654096299,0.024195940233767,1.0,1.0
lista_bd,LISTA-BD,dysts:LuChenCheng,1500,15,0.0062404286249407,-2.208750843891256,0.0066097532398998,0.005073873093351699,0.009132114704698251,1.0,1.0
lista_bd,LISTA-BD,dysts:QiChen,1500,15,0.019067525464509155,-1.7368795749699777,0.0191524513065814,0.011260395403951351,0.0287031279876828,1.0,1.0
lista_bd,LISTA-BD,dysts:Sakarya,1500,15,0.10915705455201008,-0.979279456119433,0.1114653274416923,0.06037747301161285,0.19587698578834528,1.0,1.0
lista_bd,LISTA-BD,dysts:SanUmSrisuchinwong,1500,15,0.019414023895348773,-1.7219727044014046,0.0193972047418355,0.013613321352750049,0.0501850778236985,1.0,1.0
lista_bd,LISTA-BD,dysts:ShimizuMorioka,1500,15,0.007169793692550458,-2.150497442338152,0.0070123239420354,0.00493346527218815,0.01670244662091135,1.0,1.0
lista_bd,LISTA-BD,dysts:WangSun,1500,15,0.3454605042934418,-0.5147026851529095,0.2563294470310211,0.1653739660978317,0.7882561087608337,1.0,1.0
lista_bd,LISTA-BD,dysts:Chua,2000,15,0.006710252325449628,-2.19235053547535,0.006204089615494,0.0043468093499541005,0.01081239385530345,1.0,1.0
lista_bd,LISTA-BD,dysts:Dadras,2000,15,0.10850310538496287,-0.9725937435025915,0.1131264939904213,0.06833947636187075,0.17205492407083506,1.0,1.0
