root_label,display,horizon,n_systems,cross_system_mean,cross_system_log10_iqm_mean,cross_system_log_iqm_geomean,system_q25,system_q75,system_median,seed_bootstrap_ci95_low,seed_bootstrap_ci95_high,seed_bootstrap_se,log_relative_seed_bootstrap_ci95_low,log_relative_seed_bootstrap_ci95_high,log_relative_seed_bootstrap_se_log10,system_bootstrap_ci95_low,system_bootstrap_ci95_high,system_bootstrap_se,log_seed_bootstrap_ci95_low,log_seed_bootstrap_ci95_high,log_seed_bootstrap_se_log10,seed_bootstrap_reps,full_finite_mean,full_finite_iqm
sparse_mlp_bd,Sparse MLP-BD,2000,10,0.1299205770302,-1.41630328186,0.03834393838719,0.01423757321512,0.1318023043892,0.02924717931698,0.08215390623237,0.2253085145997,0.03748519925139,0.1123483850641,0.1617720355301,0.04081358552197,0.02332019556883,0.2859007798575,0.07116429563525,0.03376477781896,0.04526054176952,0.03270642723746,10000,1,1
sparse_mlp_bd,Sparse MLP-BD,3000,10,0.2544364724205,-0.9891673791201,0.1025256711376,0.04413695886938,0.3296847529709,0.0957003597998,0.1996807508173,0.3652864344457,0.04318399592379,0.2278965449543,0.2991087770447,0.03000246306745,0.07746463853995,0.4979969995562,0.1115722700508,0.09169348163184,0.1173863649232,0.02728077329172,10000,1,1
sparse_mlp_bd,Sparse MLP-BD,4000,10,0.4407620619982,-0.66256315543,0.2174887737213,0.1071106739756,0.6248677066631,0.2416860419843,0.3772063362508,0.5502954588458,0.04421167591197,0.404623886653,0.5021213667419,0.02369663720633,0.1739288611741,0.7865884967293,0.1608963104379,0.1978747268282,0.2426720847591,0.02257960791799,10000,1,1
sparse_mlp_bd,Sparse MLP-BD,5000,10,0.6653254480412,-0.4305447260554,0.3710695127278,0.1915089492169,1.018580528597,0.4225847365128,0.5994571359735,0.7735777544385,0.04431393423625,0.6197921737374,0.7439843074979,0.01990819811525,0.301192614462,1.122950489701,0.2113371740588,0.3448865514805,0.4085304842022,0.01869241824201,10000,1,1
dense_mlp_tanh,Dense MLP,100,10,0.001247269390296,-3.377345535412,0.0004194251462027,0.0002097664621235,0.0008458601813698,0.0005613552986889,0.00068618578423,0.003894222505904,0.0008342429570778,0.001009427313185,0.002174067921163,0.0844942587384,0.0003581955732544,0.002815097741958,0.0007194538977843,0.0003433072251848,0.00057273450105,0.05674515594633,10000,1,1
dense_mlp_tanh,Dense MLP,500,10,0.01493951874759,-2.195041018253,0.006382032063166,0.003062226453848,0.01310024094871,0.006105970785332,0.009307234748461,0.03000560915822,0.005374450774418,0.01186235049071,0.01929714993284,0.05478789784338,0.005076048099792,0.02797231474798,0.005995672770081,0.00530827087088,0.007952829832676,0.04504216076353,10000,1,1
dense_mlp_tanh,Dense MLP,1000,10,0.05292289087859,-1.621267266477,0.02391843353889,0.01093058007407,0.08854725791348,0.01991289465999,0.03684461533435,0.08449332949712,0.01233099416265,0.04306416839801,0.06536346222675,0.04685736783673,0.02130463213117,0.08986289355076,0.01779285837084,0.01985236051706,0.02941036695589,0.04348482287465,10000,1,1
dense_mlp_tanh,Dense MLP,1500,10,0.1247980059021,-1.246662968632,0.05666788858541,0.02384306573206,0.2151029460753,0.04629610603054,0.0955275347596,0.1676453821224,0.01847314479665,0.1050247230172,0.1488996444592,0.03841440102311,0.04848023421855,0.209810862238,0.04167235276239,0.04764213410227,0.06730733537498,0.03826699328842,10000,1,1
dense_mlp_tanh,Dense MLP,2000,10,0.2282849914808,-0.9702731041413,0.1070845696938,0.04132126287247,0.3911455621322,0.09675395157602,0.1870088080149,0.2844690901908,0.02492388487517,0.1965252415087,0.2715652185181,0.03547619803947,0.09216267667245,0.3859399114425,0.07532440331625,0.0913568206464,0.1248823826119,0.03435741652243,10000,1,1
dense_mlp_tanh,Dense MLP,3000,10,0.4928221621861,-0.5883257889211,0.25803238172,0.09187574425919,0.8122012615204,0.3017049473193,0.4367515618385,0.5643120470509,0.03219013947663,0.4284667825393,0.5880481095631,0.03511956549482,0.2321806345404,0.8018722202443,0.1468391617637,0.2228555064272,0.2988009889405,0.03203023058068,10000,1,1
dense_mlp_tanh,Dense MLP,4000,10,0.7668216231383,-0.3279525687124,0.4699454306935,0.2007106323209,1.204216384225,0.629956394434,0.699335515792,0.8622940952393,0.04141062555724,0.6611264761785,0.8914213819574,0.03347143104101,0.4051516264253,1.164254892824,0.1943743760947,0.4110150977923,0.5386135078264,0.02995471596514,10000,1,1
dense_mlp_tanh,Dense MLP,5000,10,1.093165161295,-0.1303768554042,0.7406672545529,0.3577144373622,1.634598972069,1.030279861556,1.007740431313,1.206596925352,0.05086499457697,0.9532457072178,1.244171958383,0.02975711725776,0.6491103421669,1.597311223433,0.2430643117615,0.6546090893116,0.8389363515789,0.02761095398876,10000,1,1
