benchmark,source_family,system,seed,method,status,horizon,mse,finite_start_fraction,metric_protocol,source_file
multibasin,classical_koopman,claude:var_depth_gradient_4,2,dmd,ok,500,3.0248128447340386,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_depth_gradient_4/seed_2/rows.csv
multibasin,classical_koopman,claude:var_diamond_4,0,dmd,ok,500,2.8726104486187123,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_diamond_4/seed_0/rows.csv
multibasin,classical_koopman,claude:var_diamond_4,1,dmd,ok,500,3.0278202955882287,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_diamond_4/seed_1/rows.csv
multibasin,classical_koopman,claude:var_diamond_4,2,dmd,ok,500,2.726203308642045,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_diamond_4/seed_2/rows.csv
multibasin,classical_koopman,claude:var_l_shape_5,0,dmd,ok,500,2.8065162977571654,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_l_shape_5/seed_0/rows.csv
multibasin,classical_koopman,claude:var_l_shape_5,1,dmd,ok,500,2.1669904236560025,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_l_shape_5/seed_1/rows.csv
multibasin,classical_koopman,claude:var_l_shape_5,2,dmd,ok,500,2.3331567250918077,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_l_shape_5/seed_2/rows.csv
multibasin,classical_koopman,gated_local_linear,0,dmd,ok,500,1.7215568495882612,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/gated_local_linear/seed_0/rows.csv
multibasin,classical_koopman,gated_local_linear,1,dmd,ok,500,1.6003684485369767,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/gated_local_linear/seed_1/rows.csv
multibasin,classical_koopman,gated_local_linear,2,dmd,ok,500,1.53837089982082,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/gated_local_linear/seed_2/rows.csv
multibasin,classical_koopman,gated_transfer_linear,0,dmd,ok,500,1.9217451134797081,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/gated_transfer_linear/seed_0/rows.csv
multibasin,classical_koopman,gated_transfer_linear,1,dmd,ok,500,1.8928134071683809,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/gated_transfer_linear/seed_1/rows.csv
multibasin,classical_koopman,gated_transfer_linear,2,dmd,ok,500,1.5871654395055588,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/gated_transfer_linear/seed_2/rows.csv
multibasin,classical_koopman,claude:arrested_spiral,0,dmd,ok,1000,1.7352733321842386,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_arrested_spiral/seed_0/rows.csv
multibasin,classical_koopman,claude:arrested_spiral,1,dmd,ok,1000,2.3709521718565387,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_arrested_spiral/seed_1/rows.csv
multibasin,classical_koopman,claude:arrested_spiral,2,dmd,ok,1000,1.8846663430621033,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_arrested_spiral/seed_2/rows.csv
multibasin,classical_koopman,claude:cal_asymmetric_3,0,dmd,ok,1000,2.2106950939388303,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_asymmetric_3/seed_0/rows.csv
multibasin,classical_koopman,claude:cal_asymmetric_3,1,dmd,ok,1000,2.163984940800818,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_asymmetric_3/seed_1/rows.csv
multibasin,classical_koopman,claude:cal_asymmetric_3,2,dmd,ok,1000,2.0275098365755233,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_asymmetric_3/seed_2/rows.csv
multibasin,classical_koopman,claude:cal_hexagon_6,0,dmd,ok,1000,1.1363612062049993,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_hexagon_6/seed_0/rows.csv
multibasin,classical_koopman,claude:cal_hexagon_6,1,dmd,ok,1000,1.0581623557756246,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_hexagon_6/seed_1/rows.csv
multibasin,classical_koopman,claude:cal_hexagon_6,2,dmd,ok,1000,1.0844772449113698,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_hexagon_6/seed_2/rows.csv
multibasin,classical_koopman,claude:cal_high_cross_3,0,dmd,ok,1000,2.9477953614504124,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_high_cross_3/seed_0/rows.csv
multibasin,classical_koopman,claude:cal_high_cross_3,1,dmd,ok,1000,2.996545354722886,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_high_cross_3/seed_1/rows.csv
multibasin,classical_koopman,claude:cal_high_cross_3,2,dmd,ok,1000,2.606487124498583,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_high_cross_3/seed_2/rows.csv
multibasin,classical_koopman,claude:cal_octagon_8,0,dmd,ok,1000,1.604473759956258,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_octagon_8/seed_0/rows.csv
multibasin,classical_koopman,claude:cal_octagon_8,1,dmd,ok,1000,1.6271909511342977,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_octagon_8/seed_1/rows.csv
multibasin,classical_koopman,claude:cal_octagon_8,2,dmd,ok,1000,1.6181783194318444,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_octagon_8/seed_2/rows.csv
multibasin,classical_koopman,claude:cal_pentagon_5,0,dmd,ok,1000,1.6347289882829574,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_pentagon_5/seed_0/rows.csv
multibasin,classical_koopman,claude:cal_pentagon_5,1,dmd,ok,1000,1.5057354427945453,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_pentagon_5/seed_1/rows.csv
multibasin,classical_koopman,claude:cal_pentagon_5,2,dmd,ok,1000,1.3798917615519324,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_pentagon_5/seed_2/rows.csv
multibasin,classical_koopman,claude:cal_square_4,0,dmd,ok,1000,1.6110002329331603,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_square_4/seed_0/rows.csv
multibasin,classical_koopman,claude:cal_square_4,1,dmd,ok,1000,1.633847772937413,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_square_4/seed_1/rows.csv
multibasin,classical_koopman,claude:cal_square_4,2,dmd,ok,1000,1.7925687383555537,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_square_4/seed_2/rows.csv
multibasin,classical_koopman,claude:duffing_triple_well,0,dmd,ok,1000,0.1518879732763061,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_duffing_triple_well/seed_0/rows.csv
multibasin,classical_koopman,claude:duffing_triple_well,1,dmd,ok,1000,0.1583536006764018,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_duffing_triple_well/seed_1/rows.csv
multibasin,classical_koopman,claude:duffing_triple_well,2,dmd,ok,1000,0.13783910500336494,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_duffing_triple_well/seed_2/rows.csv
multibasin,classical_koopman,claude:snic_multi,0,dmd,ok,1000,0.4938651470149309,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_snic_multi/seed_0/rows.csv
multibasin,classical_koopman,claude:snic_multi,1,dmd,ok,1000,0.49344532765699745,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_snic_multi/seed_1/rows.csv
multibasin,classical_koopman,claude:snic_multi,2,dmd,ok,1000,0.4607319687204406,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_snic_multi/seed_2/rows.csv
multibasin,classical_koopman,claude:transition_routes_4,0,dmd,ok,1000,2.5567095884619517,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_transition_routes_4/seed_0/rows.csv
multibasin,classical_koopman,claude:transition_routes_4,1,dmd,ok,1000,2.329610123498453,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_transition_routes_4/seed_1/rows.csv
multibasin,classical_koopman,claude:transition_routes_4,2,dmd,ok,1000,2.4412080332169954,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_transition_routes_4/seed_2/rows.csv
multibasin,classical_koopman,claude:var_depth_gradient_4,0,dmd,ok,1000,2.2675734159046956,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_depth_gradient_4/seed_0/rows.csv
multibasin,classical_koopman,claude:var_depth_gradient_4,1,dmd,ok,1000,2.077758120049063,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_depth_gradient_4/seed_1/rows.csv
multibasin,classical_koopman,claude:var_depth_gradient_4,2,dmd,ok,1000,2.325406351907657,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_depth_gradient_4/seed_2/rows.csv
multibasin,classical_koopman,claude:var_diamond_4,0,dmd,ok,1000,2.136870940027388,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_diamond_4/seed_0/rows.csv
multibasin,classical_koopman,claude:var_diamond_4,1,dmd,ok,1000,2.23303608015175,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_diamond_4/seed_1/rows.csv
multibasin,classical_koopman,claude:var_diamond_4,2,dmd,ok,1000,2.014545056424091,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_diamond_4/seed_2/rows.csv
multibasin,classical_koopman,claude:var_l_shape_5,0,dmd,ok,1000,2.059719836581037,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_var_l_shape_5/seed_0/rows.csv
