model,seed,horizon,physical_time,field_mse,final_field_mse,relative_rmse,final_relative_rmse,persistence_field_mse,persistence_final_field_mse,pixel_basin_mean_iou,same_horizon_modal_basin_consistency
dense,20,1,0.1,0.05140352435410023,0.05140352435410023,3.959865278581949,3.959865278581949,0.0032781745539978147,0.0032781745539978147,0.7784739132302512,0.890625
dense,20,5,0.5,0.034037110209465024,0.022550055757164955,1.372503458602161,0.8185311711780241,0.018068653345108033,0.03365713730454445,0.8086231550308509,0.92578125
dense,20,10,1.0,0.02588472068309784,0.01606812048703432,0.8320450991901198,0.4728438769475618,0.03738950788974762,0.07186700403690338,0.8386516549398745,0.9375
dense,20,20,2.0,0.02117037624120712,0.017734184861183167,0.5280106415664872,0.34392677298497343,0.07593521475791931,0.1499267965555191,0.8593873116227488,0.9296875
dense,20,40,4.0,0.021363544464111327,0.024970105849206448,0.37237162267786067,0.28691790287592295,0.15407073497772217,0.30332282185554504,0.8602382541906481,0.91796875
dense,20,80,8.0,0.026875039935111998,0.03923674114048481,0.3075700725837954,0.2827568270377495,0.2840932846069336,0.4907572567462921,0.8564877684608765,0.89453125
dense,20,120,12.0,0.03340365389982859,0.05398884415626526,0.30159183078694135,0.3097913152172966,0.3672441005706787,0.562555730342865,0.8465790221333768,0.890625
dense,20,160,16.0,0.04075634181499481,0.0706610232591629,0.3113778772133987,0.34544935688698236,0.4203583598136902,0.5921219289302826,0.8310780552942753,0.87890625
dense,20,200,20.0,0.04840368986129761,0.08673427626490593,0.3256246924994059,0.37742187264081256,0.45650318145751956,0.6088868975639343,0.8144512865353166,0.89453125
sparse,11,1,0.1,0.03994566388428211,0.03994566388428211,3.4907503019835633,3.4907503019835633,0.0032781745539978147,0.0032781745539978147,0.8108417171653444,0.91015625
sparse,11,5,0.5,0.025716938078403473,0.016832715831696987,1.1930172868707243,0.7071939044026677,0.018068653345108033,0.03365713730454445,0.8318621660359051,0.91796875
sparse,11,10,1.0,0.019971898198127745,0.013685038313269615,0.7308610159417581,0.43637336894461154,0.03738950788974762,0.07186700403690338,0.8474680103844279,0.90625
sparse,11,20,2.0,0.017798417806625368,0.017822960391640663,0.4841379042852681,0.34478652963331013,0.07593521475791931,0.1499267965555191,0.8451259156741586,0.90234375
sparse,11,40,4.0,0.020762415230274202,0.02915823645889759,0.36709532942830103,0.31004739226959943,0.15407073497772217,0.30332282185554504,0.845647630373349,0.875
sparse,11,80,8.0,0.03288312554359436,0.061857353895902634,0.3402170396276276,0.3550277531328446,0.2840932846069336,0.4907572567462921,0.8335041605047776,0.86328125
sparse,11,120,12.0,0.04983698924382528,0.10695327445864677,0.36838207083154056,0.4360278869534793,0.3672441005706787,0.562555730342865,0.7950698043172391,0.87109375
sparse,11,160,16.0,0.0730737030506134,0.1853574514389038,0.41693726537690423,0.5594991771247808,0.4203583598136902,0.5921219289302826,0.7229707754628973,0.8671875
sparse,11,200,20.0,0.11084856986999511,0.35888753831386566,0.49276873252808406,0.7677341779132171,0.45650318145751956,0.6088868975639343,0.5799192497858545,0.84375
sparse,12,1,0.1,0.03757284954190254,0.03757284954190254,3.3854860551056296,3.3854860551056296,0.0032781745539978147,0.0032781745539978147,0.8160412870046134,0.88671875
sparse,12,5,0.5,0.023838873952627182,0.01526454882696271,1.1486295258152603,0.6734469633643039,0.018068653345108033,0.03365713730454445,0.8364661361200154,0.93359375
