root_label,system_name,seed,h100_best_periodic_mean,h500_best_periodic_mean,h1000_best_periodic_mean,h100_best_periodic_is_finite,h500_best_periodic_is_finite,h1000_best_periodic_is_finite
lista_blockdiag_signsplit_hardinit_basin_partition,claude_duffing_triple_well,1,0.003892736742272973,0.00520125450566411,0.003543804632499814,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_duffing_triple_well,2,0.009359132498502731,0.010794238187372684,0.005643199663609266,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_duffing_triple_well,3,0.0027024168521165848,0.0037161647342145443,0.0033677411265671253,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_duffing_triple_well,4,0.016109885647892952,0.014992359094321728,0.00804237648844719,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_duffing_triple_well,5,0.001025569741614163,0.0022257338277995586,0.0015939450822770596,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_duffing_triple_well,6,0.009544088505208492,0.009407534264028072,0.005142954643815756,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_duffing_triple_well,7,0.004226879682391882,0.005690120626240969,0.0032271286472678185,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_duffing_triple_well,8,0.008704626001417637,0.010198325850069523,0.006027445662766695,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_duffing_triple_well,9,0.0010151360183954239,0.002045588567852974,0.004223201423883438,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_snic_multi,0,0.00015907151100691408,7.073091546772048e-05,5.7778917835094035e-05,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_snic_multi,1,0.0001695642276899889,0.00028054253198206425,0.0002924101136159152,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_snic_multi,2,0.00025196114438585937,0.00034807107294909656,0.0003672029706649482,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_snic_multi,3,0.00022502992942463607,0.0003198800259269774,0.0003316904476378113,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_snic_multi,4,0.00014432604075409472,0.00026634358800947666,0.0002986032923217863,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_snic_multi,5,0.0006203427910804749,0.0007979365182109177,0.0007564970292150974,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_snic_multi,6,0.00014368111442308873,0.00014404431567527354,0.0001430447300663218,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_snic_multi,7,0.0005570171633735299,0.001963888993486762,0.0027643151115626097,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_snic_multi,8,0.00011893072951352224,0.0001308049977524206,0.0001335339475190267,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_snic_multi,9,0.00048577156849205494,0.0005488609313033521,0.0005707982345484197,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_transition_routes_4,0,0.020658239722251892,0.2856055796146393,0.4861147403717041,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_transition_routes_4,1,0.018241161480545998,0.24946007132530212,0.4582340717315674,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_transition_routes_4,2,0.008447038941085339,0.090365469455719,0.15385057032108307,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_transition_routes_4,3,0.012010311707854271,0.10653970390558243,0.2717846632003784,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_transition_routes_4,4,0.020525755360722542,0.24842309951782227,0.45466965436935425,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_transition_routes_4,5,0.021085746586322784,0.21533827483654022,0.3891458511352539,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_transition_routes_4,6,0.018240733072161674,0.1797223687171936,0.36411717534065247,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_transition_routes_4,7,0.010018298402428627,0.25265541672706604,0.34114521741867065,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_transition_routes_4,8,0.021151024848222733,0.16984599828720093,0.20150913298130035,True,True,True
lista_blockdiag_signsplit_hardinit_basin_partition,claude_transition_routes_4,9,0.003919819835573435,0.011383701115846634,0.04692746698856354,True,True,True
