system_key,system_name,seed,dense_run_dir,status,current_coverage,family_count_retained,family_count_total,persistent_coverage,elapsed_seconds,activity_leakage_true,activity_leakage_null,activity_leakage_true_over_null,restricted_residual_true,restricted_residual_null,restricted_residual_true_over_null
claude:arrested_spiral,claude_arrested_spiral,0,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_arrested_spiral/dt_0p02/seed_0/20260720-134142,eligible,0.977294921875,7,9,0.9688720703125,8.353304147720337,0.015878594206524203,0.01482724465068808,1.0709066033915704,0.012901743758137199,0.014854221869376434,0.8685573617784397
claude:arrested_spiral,claude_arrested_spiral,1,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_arrested_spiral/dt_0p02/seed_1/20260720-134142,eligible,0.9659423828125,5,8,0.956787109375,9.355107545852661,0.014846872654603674,0.014933759910614589,0.9941818231623533,0.011210555016975245,0.013883978181128886,0.8074454504842596
claude:arrested_spiral,claude_arrested_spiral,2,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_arrested_spiral/dt_0p02/seed_2/20260720-134142,ineligible,0.9635009765625,1,2,0.9583740234375,19.66406774520874,0.008449859551180293,0.031616376945249755,0.2672621080465026,0.00640796675638324,0.026253339716247513,0.24408196540486296
claude:cal_asymmetric_3,claude_cal_asymmetric_3,0,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_cal_asymmetric_3/dt_0p03/seed_0/20260720-134142,eligible,1.0,3,3,0.97705078125,13.15535593032837,0.028346701904544414,0.03784164989908418,0.7490873674942604,0.017604250380107423,0.03101819554924403,0.567545921623944
claude:cal_asymmetric_3,claude_cal_asymmetric_3,1,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_cal_asymmetric_3/dt_0p03/seed_1/20260720-134142,eligible,1.0,3,3,0.9818115234375,8.619077444076538,0.01600290041683012,0.03303711465812443,0.4843915875351637,0.011825593643232669,0.03145966375617423,0.37589701323211994
claude:cal_asymmetric_3,claude_cal_asymmetric_3,2,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_cal_asymmetric_3/dt_0p03/seed_2/20260720-134142,eligible,0.9920654296875,4,5,0.9871826171875,7.0736243724823,0.017028786555778542,0.030604073635696116,0.5564222187701323,0.011389515257779535,0.02362532631022931,0.48208922527550846
claude:cal_hexagon_6,claude_cal_hexagon_6,0,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_cal_hexagon_6/dt_0p03/seed_0/20260720-134142,eligible,0.960693359375,2,4,0.94482421875,16.075068712234497,0.01703994681222188,0.04476942402384025,0.38061572566017166,0.01191890550813257,0.03577574201877565,0.3331560670880662
claude:cal_hexagon_6,claude_cal_hexagon_6,1,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_cal_hexagon_6/dt_0p03/seed_1/20260720-134142,eligible,0.99267578125,6,7,0.9722900390625,9.82437515258789,0.01226744456474271,0.020011447960481273,0.6130213360356799,0.009962887489644018,0.01621230536887884,0.6145262664968542
claude:cal_hexagon_6,claude_cal_hexagon_6,2,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_cal_hexagon_6/dt_0p03/seed_2/20260720-134142,eligible,0.96875,5,8,0.9580078125,8.414452075958252,0.012253016888031201,0.017307976608174694,0.7079404580570097,0.009549618681639813,0.01496080237707871,0.6383092591524827
claude:cal_high_cross_3,claude_cal_high_cross_3,0,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_cal_high_cross_3/dt_0p03/seed_0/20260720-134142,eligible,0.998779296875,3,3,0.9813232421875,7.0379087924957275,0.02141479119020467,0.0500296899971728,0.4280416526949264,0.01558644979151788,0.04068904385772555,0.3830625719792752
claude:cal_high_cross_3,claude_cal_high_cross_3,1,/network/scratch/l/lia/skae/global_k_dense_zero_wd_20260720/runs/neurips_2026_dense_zero_wd_specificity_v1/mlp_zero_sparse_zero_wd_hardinit_basin_partition_control/claude_cal_high_cross_3/dt_0p03/seed_1/20260720-134142,eligible,1.0,4,4,0.9857177734375,10.184142589569092,0.022749218511842757,0.04320501391961799,0.526541168443255,0.017229614905955717,0.038689826842847407,0.445326751549961
