benchmark,condition,model,split,horizon,latent_dim,sparsity_coefficient,metric_name,mean,std,ci95_low,ci95_high,n,bootstrap_resamples
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,0,16,0.0001,k_l1,16.156770706176758,0.0,16.156770706176758,16.156770706176758,1,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,0,16,0.0001,k_max_abs,1.0008717775344849,0.0,1.0008717775344849,1.0008717775344849,1,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,0,16,0.0001,spectral_radius,1.0015205144882202,0.0,1.0015205144882202,1.0015205144882202,1,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,0,16,0.0001,valid_prediction_never_crossed,0.0,0.0,0.0,0.0,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,0,16,0.0001,valid_prediction_time,1.0,0.0,1.0,1.0,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,1,16,0.0001,max_abs_error,2.4150519371032715,0.2270228193921724,2.2545225620269775,2.5755813121795654,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,1,16,0.0001,nrmse,0.9906652512053216,0.004253161091002655,0.9876578121563948,0.9936726902542483,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,1,16,0.0001,power_spectrum_error,0.9422105550765991,0.010995607014310122,0.9344354867935181,0.9499856233596802,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,1,16,0.0001,relative_l2,0.9906651973724365,0.00425320707062836,0.9876577258110046,0.9936726689338684,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,1,16,0.0001,temporal_corr,0.17425333650939184,0.06948206825886774,0.1251220948726799,0.2233845781461038,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,10,16,0.0001,autocorr_error,0.3888150602579117,0.018066478421861536,0.37604013085365295,0.4015899896621704,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,10,16,0.0001,max_abs_error,2.709679365158081,0.27536761485768446,2.514965057373047,2.9043936729431152,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,skae_k_l1,test,10,16,0.0001,nrmse,0.9949093340177522,0.0006388753381599346,0.9944575809338064,0.9953610871016979,2,2000
